
S&P 500 INDEX,Last: 4697.2402,Change:  8.5602
"Date: January 7, 2024 at 10:52 AM EST",Bid: 4645.23,Ask: 4753.8999,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jan 05 2024,SPXW240105C01200000,3499.25,-1.1,3492.4,3501.3,1,0,0,0,24,1200.00,SPXW240105P01200000,0.05,0.025,0,0.05,2,0,0,0,0
Fri Jan 05 2024,SPXW240105C01400000,3294.7,-5.75,3292.2,3301.1,1,0,0,0,5,1400.00,SPXW240105P01400000,0,0,0,0.05,0,0,0,0,0
Fri Jan 05 2024,SPXW240105C01600000,0,0,3092.2,3101.1,0,0,0,0,0,1600.00,SPXW240105P01600000,0,0,0,0.05,0,0,0,0,0
Fri Jan 05 2024,SPXW240105C01800000,2892.7,0,2892.2,2901.1,0,0,0,0,1,1800.00,SPXW240105P01800000,0.05,0,0,0.05,0,0,0,0,86
Fri Jan 05 2024,SPXW240105C02000000,2689.1,0,2692.2,2701.1,0,0,0,0,5,2000.00,SPXW240105P02000000,0.05,0,0,0.05,0,0,0,0,129
Fri Jan 05 2024,SPXW240105C02200000,0,0,2492.2,2501.1,0,0,0,0,8,2200.00,SPXW240105P02200000,0.05,0,0,0.05,0,0,0,0,227
Fri Jan 05 2024,SPXW240105C02400000,2376.35,0,2292.2,2301.1,0,0,0,0,4,2400.00,SPXW240105P02400000,0.07,0,0,0.05,0,0,0,0,386
Fri Jan 05 2024,SPXW240105C02600000,2086.4,-14.6,2092.2,2101.1,10,0,0,0,12,2600.00,SPXW240105P02600000,0.03,0.005,0,0.05,1,0,0,0,476
Fri Jan 05 2024,SPXW240105C02800000,0,0,1892.2,1901.1,0,0,0,0,0,2800.00,SPXW240105P02800000,0.05,0,0,0.05,0,0,0,0,555
Fri Jan 05 2024,SPXW240105C02900000,0,0,1792.4,1801.3,0,0,0,0,0,2900.00,SPXW240105P02900000,0.05,0,0,0.05,0,0,0,0,6693
Fri Jan 05 2024,SPXW240105C03000000,1751.66,0,1692.4,1701.3,0,0,0,0,1,3000.00,SPXW240105P03000000,0.05,0,0,0.05,0,0,0,0,656
Fri Jan 05 2024,SPXW240105C03100000,0,0,1592.2,1601.1,0,0,0,0,0,3100.00,SPXW240105P03100000,0.15,0,0,0.05,0,0,0,0,430
Fri Jan 05 2024,SPXW240105C03200000,0,0,1492.2,1501.1,0,0,0,0,0,3200.00,SPXW240105P03200000,0.05,0,0,0.05,0,0,0,0,1196
Fri Jan 05 2024,SPXW240105C03300000,0,0,1392.2,1401.1,0,0,0,0,0,3300.00,SPXW240105P03300000,0.05,0,0,0.05,0,0,0,0,364
Fri Jan 05 2024,SPXW240105C03350000,0,0,1342.2,1351.1,0,0,0,0,0,3350.00,SPXW240105P03350000,0.05,0,0,0.05,0,0,0,0,480
Fri Jan 05 2024,SPXW240105C03400000,1379.4,0,1292.2,1301.1,0,0,0,0,1,3400.00,SPXW240105P03400000,0.07,0,0,0.05,0,0,0,0,390
Fri Jan 05 2024,SPXW240105C03450000,1246.03,-5.27,1242.2,1251.1,1,0,0,0,1,3450.00,SPXW240105P03450000,0.05,0,0,0.05,0,0,0,0,369
Fri Jan 05 2024,SPXW240105C03500000,0,0,1192.4,1201.3,0,0,0,0,0,3500.00,SPXW240105P03500000,0.05,0,0,0.05,0,0,0,0,2218
Fri Jan 05 2024,SPXW240105C03550000,0,0,1142.4,1151.3,0,0,0,0,0,3550.00,SPXW240105P03550000,0.05,0,0,0.05,0,0,0,0,424
Fri Jan 05 2024,SPXW240105C03600000,0,0,1092.2,1101.1,0,0,0,0,0,3600.00,SPXW240105P03600000,0.05,0,0,0.05,0,0,0,0,3155
Fri Jan 05 2024,SPXW240105C03650000,0,0,1042.2,1051.1,0,0,0,0,0,3650.00,SPXW240105P03650000,0.05,0,0,0.05,0,0,0,0,2760
Fri Jan 05 2024,SPXW240105C03700000,0,0,992.2,1001.1,0,0,0,0,0,3700.00,SPXW240105P03700000,0.05,0,0,0.05,0,0,0,0,3283
Fri Jan 05 2024,SPXW240105C03750000,965.78,0,942.2,951.1,0,0,0,0,1,3750.00,SPXW240105P03750000,0.05,0,0,0.05,0,0,0,0,3170
Fri Jan 05 2024,SPXW240105C03800000,986.98,0,892.2,901.1,0,0,0,0,1,3800.00,SPXW240105P03800000,0.05,0,0,0.05,0,0,0,0,27912
Fri Jan 05 2024,SPXW240105C03850000,0,0,842.2,851.1,0,0,0,0,0,3850.00,SPXW240105P03850000,0.05,0,0,0.05,0,0,0,0,25198
Fri Jan 05 2024,SPXW240105C03900000,0,0,792.2,801.1,0,0,0,0,0,3900.00,SPXW240105P03900000,0.05,0,0,0.05,0,0,0,0,13932
Fri Jan 05 2024,SPXW240105C03925000,0,0,767.4,776.3,0,0,0,0,0,3925.00,SPXW240105P03925000,0.05,0,0,0.05,0,0,0,0,1653
Fri Jan 05 2024,SPXW240105C03950000,490.71,0,742.2,751.1,0,0,0,0,1,3950.00,SPXW240105P03950000,0.05,0,0,0.05,0,0,0,0,10585
Fri Jan 05 2024,SPXW240105C03975000,0,0,717.4,726.3,0,0,0,0,0,3975.00,SPXW240105P03975000,0.05,0,0,0.05,0,0,0,0,4512
Fri Jan 05 2024,SPXW240105C04000000,736.58,0,692.4,701.3,0,0,0,0,8799,4000.00,SPXW240105P04000000,0.05,0,0,0.05,0,0,0,0,12898
Fri Jan 05 2024,SPXW240105C04010000,0,0,682.4,691.3,0,0,0,0,0,4010.00,SPXW240105P04010000,0.05,0,0,0.05,0,0,0,0,299
Fri Jan 05 2024,SPXW240105C04020000,0,0,672.4,681.3,0,0,0,0,0,4020.00,SPXW240105P04020000,0.05,0,0,0.05,0,0,0,0,189
Fri Jan 05 2024,SPXW240105C04025000,695.51,18.91,667.4,676.3,10,0,0,0,10,4025.00,SPXW240105P04025000,0.05,0,0,0.05,0,0,0,0,748
Fri Jan 05 2024,SPXW240105C04030000,0,0,662.4,671.3,0,0,0,0,0,4030.00,SPXW240105P04030000,0.05,0,0,0.05,0,0,0,0,331
Fri Jan 05 2024,SPXW240105C04040000,0,0,652.2,661.1,0,0,0,0,0,4040.00,SPXW240105P04040000,0.05,0,0,0.05,0,0,0,0,187
Fri Jan 05 2024,SPXW240105C04050000,515.36,0,642.2,651.1,0,0,0,0,1,4050.00,SPXW240105P04050000,0.05,0.025,0,0.05,1,0,0,0,4962
Fri Jan 05 2024,SPXW240105C04060000,660.41,18.76,632.4,641.3,10,0,0,0,11,4060.00,SPXW240105P04060000,0.05,0,0,0.05,0,0,0,0,221
Fri Jan 05 2024,SPXW240105C04070000,518.66,0,622.4,631.3,0,0,0,0,6,4070.00,SPXW240105P04070000,0.05,0,0,0.05,0,0,0,0,142
Fri Jan 05 2024,SPXW240105C04075000,614.37,-12.23,617.2,626.1,1,0,0,0,1,4075.00,SPXW240105P04075000,0.05,0,0,0.05,0,0,0,0,1152
Fri Jan 05 2024,SPXW240105C04080000,548,0,612.2,621.1,0,0,0,0,1,4080.00,SPXW240105P04080000,0.07,0,0,0.05,0,0,0,0,72
Fri Jan 05 2024,SPXW240105C04090000,538.05,0,602.4,611.3,0,0,0,0,1,4090.00,SPXW240105P04090000,0.2,0,0,0.05,0,0,0,0,3763
Fri Jan 05 2024,SPXW240105C04100000,595.56,-6.09,592.2,601.1,10,0,0,0,235,4100.00,SPXW240105P04100000,0.05,0.025,0,0.05,2,0,0,0,5036
Fri Jan 05 2024,SPXW240105C04110000,0,0,582.4,591.3,0,0,0,0,0,4110.00,SPXW240105P04110000,0.05,0,0,0.05,0,0,0,0,830
Fri Jan 05 2024,SPXW240105C04120000,0,0,572.2,581.1,0,0,0,0,0,4120.00,SPXW240105P04120000,0.05,0,0,0.05,0,0,0,0,1385
Fri Jan 05 2024,SPXW240105C04125000,654.52,0,567.4,576.3,0,0,0,0,1,4125.00,SPXW240105P04125000,0.05,0,0,0.05,0,0,0,0,1255
