
Standard & Poors 500 Index,Last: 3900.8601,Change:  -116.9599
"Date: June 11, 2022, 8:47 PM EDT",Bid: 3878.48,Ask: 3927.9299,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Jun 10 2022,SPXW220610C00800000,3313.74,0,3090.2,3107.3,0,0,0,0,1,800.00,SPXW220610P00800000,0.05,0.025,0,0.05,1,0,0,0,18
Fri Jun 10 2022,SPXW220610C01000000,0,0,2890.2,2907.3,0,0,0,0,0,1000.00,SPXW220610P01000000,0,0,0,0.05,0,0,0,0,0
Fri Jun 10 2022,SPXW220610C01200000,0,0,2690.2,2707.3,0,0,0,0,0,1200.00,SPXW220610P01200000,0.05,0,0,0.05,0,0,0,0,47
Fri Jun 10 2022,SPXW220610C01400000,0,0,2490.2,2507.3,0,0,0,0,0,1400.00,SPXW220610P01400000,0.07,0,0,0.05,0,0,0,0,3
Fri Jun 10 2022,SPXW220610C01600000,0,0,2290.2,2307.3,0,0,0,0,0,1600.00,SPXW220610P01600000,0.05,0,0,0.05,0,0,0,0,881
Fri Jun 10 2022,SPXW220610C01800000,0,0,2090.2,2107.3,0,0,0,0,0,1800.00,SPXW220610P01800000,0.05,0,0,0.05,0,0,0,0,219
Fri Jun 10 2022,SPXW220610C02000000,2113.99,0,1890.2,1907.3,0,0,0,0,1,2000.00,SPXW220610P02000000,0.05,0,0,0.05,0,0,0,0,540
Fri Jun 10 2022,SPXW220610C02200000,0,0,1690.2,1707.3,0,0,0,0,0,2200.00,SPXW220610P02200000,0.05,0,0,0.05,0,0,0,0,1115
Fri Jun 10 2022,SPXW220610C02400000,0,0,1490.2,1507.3,0,0,0,0,0,2400.00,SPXW220610P02400000,0.05,0,0,0.05,0,0,0,0,1831
Fri Jun 10 2022,SPXW220610C02600000,1571.87,0,1290.2,1307.3,0,0,0,0,1,2600.00,SPXW220610P02600000,0.05,0,0,0.05,0,0,0,0,2774
Fri Jun 10 2022,SPXW220610C02700000,0,0,1191.9,1209,0,0,0,0,0,2700.00,SPXW220610P02700000,0.05,0,0,0.05,0,0,0,0,2329
Fri Jun 10 2022,SPXW220610C02800000,0,0,1090.2,1107.3,0,0,0,0,0,2800.00,SPXW220610P02800000,0.05,0,0,0.05,0,0,0,0,4904
Fri Jun 10 2022,SPXW220610C02900000,1037.64,0,991.9,1009,0,0,0,0,2,2900.00,SPXW220610P02900000,0.05,0,0,0.05,0,0,0,0,787
